Domain,Host,"IP Address"
benneywatches.net,"Heart Internet",212.48.74.143
carltonbigband.co.uk,"Heart Internet",212.48.74.143
davismotoringschool.com,"DP1 WAF?",216.59.63.91
daysouttogether.com,"Heart Internet",212.48.74.143
equinox-tech.co.uk,DP1,162.13.203.192
exeter-leadership-consulting.co.uk,DP1,162.13.203.192
fuse-server.com,"Heart Internet",212.48.74.143
getgoingwithbowen.co.uk,"Flint new server",185.38.38.146
interfaceuganda.org,"IP Unknown",79.170.40.41
jclifechanger.co.uk,"DP1 WAF?",216.59.63.91
kernowcampervans.co.uk,"IP Unknown",46.32.240.39
landandseaagency.com,"DP1 WAF?",216.59.63.91
logiscan.co.uk,DP1,162.13.203.192
mayflower400uk.com,"Heart Internet",212.48.74.143
mccaren-aia.co.uk,"Flint old server",37.128.188.37
mortgagesfromcmb.co.uk,"Heart Internet",212.48.74.143
myrfhosting.com,"IP Unknown",81.200.64.50
norbord.co.uk,DP1,162.13.203.192
printcopyscan.co.uk,DP1,162.13.203.192
pushed.co.uk,"Smart Hosting",185.116.214.8
rfdigitalhosting.com,"Heart Internet",212.48.74.143
securiguardgroup.co.uk,"IP Unknown",81.200.64.50
smirthwaite.com,"Site Ground",77.104.131.149
stmellionflowers.co.uk,"IP Unknown",185.38.38.47
tamarsecurity.co.uk,"IP Unknown",62.249.245.179
ukdmc.org,"Heart Internet",212.48.74.143
